ITEM_ID,SKU,TITLE,QUANTITY,CHANNEL,MARKETPLACE_PRICE,MSHOPS_PRICE,MSHOPS_PRICE_SYNC,CURRENCY_ID,DESCRIPTION,SHIPPING_METHOD_MARKETPLACE,SHIPPING_METHOD_MSHOPS,LISTING_TYPE,FEE_PER_SALE_MARKETPLACE,FEE_PER_SALE_MSHOPS,STATUS,CATEGORY,CATEGORY_ID,ITEM_LINK,URL,IMG
MLB3870647117,024-2410-0003,Suporte Vertical Ps3 Cech 4000 Original,0,Mercado Livre e Mercado Shops,145,125,No Vincular,R$,"Suporte Vertical PS3 CECH 4000 – Original (Acessório)

Suporte vertical original para o modelo PS3 CECH 4000. Feito para manter o console PlayStation 3 seguro em posição vertical.

Detalhes:
- Condição: Usado, em bom estado.

Imagens reais do produto disponíveis para avaliação.

Condições de Compra:
- Frete grátis para todo o Brasil.
- Parcelamento em até 12 vezes sem juros no cartão comum ou 18 vezes pelo Mercado Pago.
- Suporte completo ao cliente.

Descontos para pagamentos à vista. Consulte nosso catálogo para outras opções.",Mercado Envios grátis,Mercado Envios grátis,Premium,,,Inativo,Suportes para reprodutores de vídeo e consoles de videogames,024,https://www.mercadolivre.com.br/anuncios/lista?filters=OMNI_ACTIVE|OMNI_INACTIVE|CHANNEL_NO_PROXIMITY_AND_NO_MP_MERCHANTS&page=1&search=3870647117,https://www.collectorsguardian.com.br/MLB-3870647117-suporte-vertical-ps3-cech-4000-original-_JM#item_id=MLB3870647117,https://http2.mlstatic.com/D_NQ_NP_869349-MLB79555069128_102024-O.jpg
MLB3868711061,024-2410-0002,Ps4 Vertical Stand,0,Mercado Livre e Mercado Shops,110,99,No Vincular,R$,"PS4 Vertical Stand (Acessório Original)

Base vertical para PlayStation 4, projetada para manter o console em posição vertical de maneira estável e segura, otimizando o espaço e proporcionando uma aparência elegante para o seu setup.

Detalhes:
- Condição: Usado, em bom estado.

Imagens reais do produto disponíveis para avaliação.

Condições de Compra:
- Frete grátis para todo o Brasil.
- Parcelamento em até 12 vezes sem juros no cartão comum ou 18 vezes pelo Mercado Pago.
- Suporte completo ao cliente.

Descontos disponíveis para pagamentos à vista. Consulte nosso catálogo para outras opções.",Mercado Envios por conta do comprador,Mercado Envios por conta do comprador,Clássico,,,Inativo,Suportes para reprodutores de vídeo e consoles de videogames,024,https://www.mercadolivre.com.br/anuncios/lista?filters=OMNI_ACTIVE|OMNI_INACTIVE|CHANNEL_NO_PROXIMITY_AND_NO_MP_MERCHANTS&page=1&search=3868711061,https://www.collectorsguardian.com.br/MLB-3868711061-ps4-vertical-stand-_JM#item_id=MLB3868711061,https://http2.mlstatic.com/D_NQ_NP_812107-MLB79747797509_102024-O.jpg
MLB3868709031,024-2410-0001,Ps4 Base Vertical  - Playstation 4,0,Mercado Livre e Mercado Shops,70,59,No Vincular,R$,"Base Vertical – PlayStation 4 (Acessório Original)

Base vertical para PlayStation 4, projetada para manter o console seguro e estável em posição vertical. Um acessório ideal para otimizar o espaço e exibir o PS4 com um design mais elegante.

Detalhes:
- Condição: Usado, em bom estado.

Imagens reais do produto disponíveis para avaliação.

Condições de Compra:
- Frete grátis para todo o Brasil.
- Parcelamento em até 12 vezes sem juros no cartão comum ou 18 vezes pelo Mercado Pago.
- Suporte completo ao cliente.

Descontos disponíveis para pagamentos à vista. Consulte nosso catálogo para outras opções.",Mercado Envios por conta do comprador,Mercado Envios por conta do comprador,Clássico,,,Inativo,Suportes para reprodutores de vídeo e consoles de videogames,024,https://www.mercadolivre.com.br/anuncios/lista?filters=OMNI_ACTIVE|OMNI_INACTIVE|CHANNEL_NO_PROXIMITY_AND_NO_MP_MERCHANTS&page=1&search=3868709031,https://www.collectorsguardian.com.br/MLB-3868709031-ps4-base-vertical----playstation-4-_JM#item_id=MLB3868709031,https://http2.mlstatic.com/D_NQ_NP_664722-MLB79738011934_102024-O.jpg
MLB5100814456,023-2410-0001,Zelda Tears Of The Kingdom - Caneca Oficial Not For Sale,1,Mercado Livre e Mercado Shops,125,90,No Vincular,R$,"Esta caneca de **Zelda Tears of the Kingdom** é uma peça **exclusiva**, disponibilizada apenas em sorteios oficiais realizados durante o lançamento do jogo. Adquirida diretamente na loja oficial de **Tokyo**, ela é uma excelente adição para colecionadores que valorizam itens únicos.

**Destaques:**
- **Item “Not For Sale”**: Exclusiva para os vencedores dos sorteios durante o evento de lançamento.
- **Design inspirado no jogo**: Representando o universo de Zelda Tears of the Kingdom, com detalhes que encantam os fãs da franquia.
- **Origem: Tokyo**: Adquirida em uma das lojas oficiais mais renomadas, durante o lançamento do título.

**Condição**: Novo, nunca utilizado.

**Observações:**
- As imagens fornecidas são do próprio produto, permitindo que você julgue o estado de conservação por si mesmo.
- Obs: Ao efetuar o pagamento à vista, é possível obter descontos. Além disso, em caso de compra de vários itens! Consulte nosso catálogo e não hesite em entrar em contato conosco para mais informações.

**Collectors Guardian** – aqui, o colecionismo é mais que uma paixão, é um estilo de vida!",Mercado Envios por conta do comprador,Mercado Envios por conta do comprador,Clássico,,,Inativo,Canecas,023,https://www.mercadolivre.com.br/anuncios/lista?filters=OMNI_ACTIVE|OMNI_INACTIVE|CHANNEL_NO_PROXIMITY_AND_NO_MP_MERCHANTS&page=1&search=5100814456,https://www.collectorsguardian.com.br/MLB-5100814456-zelda-tears-of-the-kingdom---caneca-oficial-not-for-sale-_JM#item_id=MLB5100814456,https://http2.mlstatic.com/D_NQ_NP_640356-MLB79536894072_102024-O.jpg
MLB3891056400,021-2410-0006,Pocket Watch Zelda Taito Limited Edition,1,Mercado Livre e Mercado Shops,650,500,No Vincular,R$,"Para os fãs de Zelda e colecionadores, apresento o exclusivo pocket watch Zelda da marca Taito, licenciado pela Nintendo e disponível somente no Japão. Este item raro e autêntico permite que você carregue o espírito da aventura no seu bolso. Feito em metal, com design detalhado em alto relevo, uma qualidade excepcional, este relógio é mais do que um simples acessório - é uma peça de história dos games. Não perca a oportunidade de adicionar esse tesouro à sua coleção.",Envios por conta própria,Mercado Envios por conta do comprador,Premium,,,Ativo,Relógios de bolso,021,https://www.mercadolivre.com.br/anuncios/lista?filters=OMNI_ACTIVE|OMNI_INACTIVE|CHANNEL_NO_PROXIMITY_AND_NO_MP_MERCHANTS&page=1&search=3891056400,https://www.collectorsguardian.com.br/MLB-3891056400-pocket-watch-zelda-taito-limited-edition-_JM#item_id=MLB3891056400,https://http2.mlstatic.com/D_NQ_NP_682889-MLB74356540789_022024-O.jpg
MLB5097147016,021-2410-0005,Pocket Watch Limited Edition Super Mário Bros Nintendo Japão,1,Mercado Livre e Mercado Shops,400,400,No Vincular,R$,"Apresentando o Relógio de Bolso Super Mario Bros, uma peça rara e oficial da Nintendo, perfeita para colecionadores e fãs do jogo. Direto do Japão, este relógio traz o estilo único do Super Mario em um acessório funcional. Por se tratar de um item antigo nunca utilizado, pode ser necessário a troca da bateria. Perfeito para colecionar ou presentear um gamer especial. Quantidade limitada disponível. Garanta o seu agora!",Mercado Envios por conta do comprador,Mercado Envios por conta do comprador,Clássico,,,Inativo,Relógios de bolso,021,https://www.mercadolivre.com.br/anuncios/lista?filters=OMNI_ACTIVE|OMNI_INACTIVE|CHANNEL_NO_PROXIMITY_AND_NO_MP_MERCHANTS&page=1&search=5097147016,https://www.collectorsguardian.com.br/MLB-5097147016-pocket-watch-limited-edition-super-mário-bros-nintendo-japão-_JM#item_id=MLB5097147016,https://http2.mlstatic.com/D_NQ_NP_905693-MLB79741064538_102024-O.jpg
MLB3923109864,021-2410-0004,Pocket Watch Zelda Link's Awakening Limited Edition Japan,1,Mercado Livre e Mercado Shops,450,450,Vincular,R$,"Este é um tesouro raro para os amantes de Zelda e colecionadores de relógios! Apresento a você o relógio de bolso oficialmente licenciado pela Nintendo, da marca Taito, inspirado no lendário jogo ""The Legend of Zelda: link's awakening. Este item é completamente novo, apenas retirado da caixa para as fotos. Uma peça de coleção verdadeiramente exclusiva, lançada apenas no Japão e com uma tiragem limitada.

Este relógio de bolso é uma obra de arte que captura a essência mágica do universo de link's awakening Com sua aparência elegante e detalhes impressionantes, ele é mais do que um simples acessório de moda; é uma homenagem à rica história de Zelda.

Compre agora e adicione um toque de encanto Zelda à sua coleção de relógios ou destaque-se como um verdadeiro fã. Não deixe escapar essa oportunidade única de possuir uma peça tão especial e rara. Esteja pronto para embarcar em aventuras épicas com estilo e pontualidade. Este relógio de bolso é a prova de que a magia de Zelda nunca envelhece.",Mercado Envios grátis,Mercado Envios grátis,Premium,,,Ativo,Relógios de bolso,021,https://www.mercadolivre.com.br/anuncios/lista?filters=OMNI_ACTIVE|OMNI_INACTIVE|CHANNEL_NO_PROXIMITY_AND_NO_MP_MERCHANTS&page=1&search=3923109864,https://www.collectorsguardian.com.br/MLB-3923109864-pocket-watch-zelda-link's-awakening-limited-edition-japan-_JM#item_id=MLB3923109864,https://http2.mlstatic.com/D_NQ_NP_633521-MLB73248628755_122023-O.jpg
MLB3474529495,021-2410-0002,"Sonic Limited Edition Comemoração 20th - Pocket Watch, Japan",1,Mercado Livre e Mercado Shops,900,800,No Vincular,R$,"Ser o guardião de um item é abraçar a história do colecionismo gamer. Cada peça única carrega memórias autênticas de lugares distantes, permitindo que você proteja experiências que transcendem o tempo, por isso Apresentamos um relógio de bolso exclusivo, uma verdadeira obra-prima de elegância, perfeito para quem aprecia a sofisticação vintage. Celebre 20 anos de Sonic com nossa edição limitada, uma verdadeira homenagem ao ouriço azul em todos os seus detalhes. Reviva a história dos jogos eletrônicos com um item de edição especial da SEGA, lançado apenas no Japão em 2011 para comemorar duas décadas do Sonic, feito em aço com alto relevo, capturando a essência dos clássicos que definiram gerações. E para os fãs e colecionadores de Sonic, temos um item especial meticulosamente criado para evocar memórias emocionantes dos jogos que amamos, com detalhes precisos e acabamento de alta qualidade. Seja para uso pessoal ou como uma adição valiosa à sua coleção, esses itens são verdadeiros tesouros que mantêm viva a paixão por Sonic. Este item exclusivo, que é difícil de encontrar até mesmo no Japão, está agora disponível para pronta entrega no Brasil. 
Não deixe escapar essa chance única, pois não temos certeza se haverá mais disponibilidade no futuro e se o valor se manterá. Adquira agora e assegure um pedaço raro da história dos jogos eletrônicos antes que seja tarde demais.",Mercado Envios grátis,Mercado Envios grátis,Premium,,,Ativo,Relógios de bolso,021,https://www.mercadolivre.com.br/anuncios/lista?filters=OMNI_ACTIVE|OMNI_INACTIVE|CHANNEL_NO_PROXIMITY_AND_NO_MP_MERCHANTS&page=1&search=3474529495,"https://www.collectorsguardian.com.br/MLB-3474529495-sonic-limited-edition-comemoração-20th---pocket-watch,-japan-_JM#item_id=MLB3474529495",https://http2.mlstatic.com/D_NQ_NP_858629-MLB73163278784_122023-O.jpg
MLB3420123395,021-2410-0001,Pocket Watch Limited Edition Super Mário Bros Nintendo Japão,1,Mercado Livre e Mercado Shops,400,350,No Vincular,R$,"Apresentando o Relógio de Bolso Super Mario Bros, uma peça rara e oficial da Nintendo, perfeita para colecionadores e fãs do jogo. Direto do Japão, este relógio traz o estilo único do Super Mario em um acessório funcional. Por se tratar de um item antigo nunca utilizado, pode ser necessário a troca da bateria. Perfeito para colecionar ou presentear um gamer especial. Quantidade limitada disponível. Garanta o seu agora!",Mercado Envios grátis,Mercado Envios grátis,Premium,,,Ativo,Relógios de bolso,021,https://www.mercadolivre.com.br/anuncios/lista?filters=OMNI_ACTIVE|OMNI_INACTIVE|CHANNEL_NO_PROXIMITY_AND_NO_MP_MERCHANTS&page=1&search=3420123395,https://www.collectorsguardian.com.br/MLB-3420123395-pocket-watch-limited-edition-super-mário-bros-nintendo-japão-_JM#item_id=MLB3420123395,https://http2.mlstatic.com/D_NQ_NP_911835-MLB72628042209_112023-O.jpg
MLB3934817225,020-2412-0002,Wall Clocks - Relógio De Parede Edição Demon Slayer- Lacrado,1,Mercado Livre e Mercado Shops,650,550,No Vincular,R$,"Relógio de Parede - Edição Demon Slayer Lacrado

Relógio de parede exclusivo com design inspirado no universo de Demon Slayer. Um item decorativo e funcional que combina perfeitamente com qualquer ambiente.

Itens inclusos: 
- Relógio de parede Demon Slayer 
- Caixa original 

Condição: 
- Produto em excelente estado de conservação e funcionamento. 
- Imagens reais detalham a condição do produto. 

Benefícios comprando conosco: 
- Suporte completo para uma transação segura 

Explore nosso catálogo para mais opções!",Mercado Envios grátis,Mercado Envios grátis,Clássico,,,Ativo,Relógios de parede,020,https://www.mercadolivre.com.br/anuncios/lista?filters=OMNI_ACTIVE|OMNI_INACTIVE|CHANNEL_NO_PROXIMITY_AND_NO_MP_MERCHANTS&page=1&search=3934817225,https://www.collectorsguardian.com.br/MLB-3934817225-wall-clocks---relógio-de-parede-edição-demon-slayer--lacrado-_JM#item_id=MLB3934817225,https://http2.mlstatic.com/D_NQ_NP_703643-MLB81448481283_122024-O.jpg
MLB3934849721,020-2412-0001,Accutime - Relógio De Parede - Super Mario Bros Original Jp,1,Mercado Livre e Mercado Shops,850,750,No Vincular,R$,"Relógio de Parede Accutime - Edição Super Mario Bros 
Relógio de parede com design exclusivo inspirado no universo de Super Mario Bros. Ideal para decorar qualquer ambiente com um toque nostálgico e divertido.

Itens inclusos: 
- Relógio de parede Accutime - Super Mario Bros 
- Caixa original 

Condição:
- Produto em bom estado de conservção, com pequenos detalhes na caixa.
- Imagens reais detalham a condição do produto. 

Benefícios comprando conosco: 
- Suporte completo para uma transação segura",Mercado Envios por conta do comprador,Envios por conta própria,Clássico,,,Ativo,Relógios de parede,020,https://www.mercadolivre.com.br/anuncios/lista?filters=OMNI_ACTIVE|OMNI_INACTIVE|CHANNEL_NO_PROXIMITY_AND_NO_MP_MERCHANTS&page=1&search=3934849721,https://www.collectorsguardian.com.br/MLB-3934849721-accutime---relógio-de-parede---super-mario-bros-original-jp-_JM#item_id=MLB3934849721,https://http2.mlstatic.com/D_NQ_NP_878928-MLB81181029444_122024-O.jpg
MLB3475809305,020-2410-0001,Wall Clock Zelda Tears Of The Kingdom Oficial Not For Sale,0,Mercado Livre e Mercado Shops,650,500,No Vincular,R$,"Apresentamos o relógio de parede oficial ""Zelda: Tears of the Kingdom"" da Nintendo - um item verdadeiramente especial para os fãs de Zelda e do jogo. Estes relógios foram sorteados na loja física da Nintendo em Tóquio durante o lançamento do jogo, tornando-o uma peça exclusiva. Aproveite esta oportunidade para adicionar um toque autêntico de Zelda à sua coleção. Observação; tem um pequeno corte na caixa como demonstrado na primeira foto.",Mercado Envios grátis,Mercado Envios grátis,Premium,,,Inativo,Relógios de parede,020,https://www.mercadolivre.com.br/anuncios/lista?filters=OMNI_ACTIVE|OMNI_INACTIVE|CHANNEL_NO_PROXIMITY_AND_NO_MP_MERCHANTS&page=1&search=3475809305,https://www.collectorsguardian.com.br/MLB-3475809305-wall-clock-zelda-tears-of-the-kingdom-oficial-not-for-sale-_JM#item_id=MLB3475809305,https://http2.mlstatic.com/D_NQ_NP_760500-MLB74191287875_012024-O.jpg
MLB3515862487,019-2410-0001,Playstation Portal,0,Mercado Livre e Mercado Shops,3450,2999,No Vincular,R$,"Introduzindo o console PlayStation Portal! Este dispositivo é o companheiro para o seu PlayStation 5, oferecendo acesso remoto aos seus jogos favoritos onde quer que você esteja, desde que tenha uma conexão de internet sólida. Com o PlayStation Portal, você pode desfrutar da experiência completa do PS5 em qualquer lugar, não apenas na sua rede doméstica.

Equipado com todas as funcionalidades avançadas do DualSense do PS5, você sentirá cada momento do jogo como se estivesse lá pessoalmente. A imersão é incomparável, garantindo que cada sessão de jogo seja uma aventura emocionante.

Este item é novo e está pronto para levar sua experiência de jogo a novas alturas. Não perca a oportunidade de experimentar a liberdade e a qualidade de jogo que o PlayStation Portal oferece. Visite o site oficial do fabricante para mais detalhes e garanta o seu hoje mesmo!
Obs: versão japonesa que não difere nada da americana a não ser o idioma da caixa, de resto é o mesmo.",Mercado Envios grátis,Mercado Envios grátis,Premium,,,Inativo,Óculos de realidade virtual,019,https://www.mercadolivre.com.br/anuncios/lista?filters=OMNI_ACTIVE|OMNI_INACTIVE|CHANNEL_NO_PROXIMITY_AND_NO_MP_MERCHANTS&page=1&search=3515862487,https://www.collectorsguardian.com.br/MLB-3515862487-playstation-portal-_JM#item_id=MLB3515862487,https://http2.mlstatic.com/D_NQ_NP_857378-MLB74771202837_022024-O.jpg
